,word,count
0,",",51743
1,de,30532
2,a,27032
3,.,26130
4,que,24668
5,e,22049
6,o,20186
7,é,11246
8,para,10337
9,em,8814
10,com,8414
11,não,7988
12,um,7886
13,uma,7814
14,da,7423
15,do,7148
16,os,7006
17,se,6561
18,as,6513
19,por,6279
20,mais,5938
21,como,5352
22,no,4787
23,na,4544
24,pessoas,4293
25,ser,4266
26,são,3772
27,ou,3673
28,sociedade,3656
29,dos,3265
30,ao,2852
31,das,2711
32,isso,2657
33,tem,1962
34,muito,1951
35,também,1947
36,pois,1945
37,mas,1915
38,forma,1853
39,brasil,1779
40,pode,1751
41,esse,1737
42,população,1730
43,social,1721
44,assim,1653
45,mesmo,1650
46,nos,1603
47,'',1585
48,cada,1582
49,``,1566
50,todos,1558
51,sua,1520
52,vida,1485
53,entre,1463
54,essa,1427
55,governo,1421
56,muitas,1417
57,seus,1399
58,vez,1392
59,nas,1371
60,sociais,1371
61,está,1369
62,pela,1360
63,já,1336
64,problema,1321
65,deve,1320
66,ter,1315
67,grande,1309
68,pelo,1293
69,seja,1268
70,país,1221
71,apenas,1189
72,seu,1180
73,mundo,1172
74,além,1170
75,à,1165
76,maior,1158
77,sobre,1154
78,até,1143
79,sem,1135
80,há,1127
81,violência,1124
82,vezes,1117
83,muitos,1117
84,preconceito,1102
85,problemas,1083
86,exemplo,1073
87,ainda,1058
88,porém,1048
89,meio,1039
90,sendo,1021
91,outros,1000
92,mulheres,988
93,pessoa,946
94,fato,945
95,parte,915
96,quando,914
97,estão,909
98,família,904
99,escolas,893
100,anos,886
101,necessário,876
102,jovens,875
103,drogas,837
104,eles,823
105,aos,821
106,outro,817
107,ela,806
108,dia,798
109,contra,796
110,uso,789
111,educação,769
112,suas,767
113,trabalho,758
114,só,754
115,ódio,753
116,esses,749
117,ele,748
118,podem,742
119,melhor,734
120,fazer,731
121,hoje,725
122,sempre,723
123,principalmente,712
124,foi,709
125,devem,702
126,portanto,681
127,essas,679
128,desde,677
129,tempo,674
130,onde,674
131,tal,667
132,maioria,666
133,qual,659
134,consumo,657
135,direitos,655
136,casos,653
137,disso,649
138,medo,644
139,mulher,644
140,maneira,644
141,crianças,639
142,dessa,636
143,estado,634
144,relação,623
145,produtos,623
146,cultura,620
147,idosos,618
148,arte,611
149,bullying,607
150,número,598
151,bem,588
152,elas,587
153,conta,586
154,quem,584
155,brasileira,584
156,falta,583
157,saúde,582
158,tudo,580
159,(,572
160,),571
161,este,569
162,consumismo,567
163,situação,566
164,algo,565
165,qualquer,564
166,outras,561
167,lei,561
168,seria,560
169,aumento,556
170,nossa,554
171,tipo,551
172,leis,550
173,menos,547
174,modo,536
175,foram,531
176,todo,524
177,%,523
178,através,521
179,faz,516
180,desse,516
181,esta,514
182,devido,513
183,movimentos,511
184,diferentes,508
185,atualmente,506
186,vem,506
187,qualidade,506
188,necessidade,492
189,dinheiro,490
190,depressão,486
191,serem,484
192,causa,477
193,partir,474
194,negros,473
195,comprar,471
196,escola,470
197,quanto,465
198,porque,464
199,questão,457
200,homem,455
201,pais,455
202,nosso,454
203,sim,451
204,era,448
205,possuem,446
206,presente,445
207,ações,442
208,?,442
209,aqueles,438
210,meios,438
211,inclusão,437
212,alguns,435
213,indivíduo,435
214,grupos,433
215,pelos,429
216,dentro,428
217,existe,427
218,possível,423
219,todas,423
220,importante,422
221,filhos,422
222,existem,421
223,internet,418
224,mesma,418
225,atual,416
226,redes,416
227,:,414
228,respeito,413
229,casa,412
230,tanto,412
231,diversos,412
232,diferente,411
233,deveria,410
234,indivíduos,409
235,transporte,407
236,tais,398
237,consumidor,396
238,nem,395
239,temos,394
240,assunto,390
241,mercado,389
242,sistema,389
243,caso,388
244,famílias,385
245,diversas,383
246,idade,382
247,toda,382
248,às,381
249,sofrem,377
250,consequências,376
251,podemos,375
252,momento,374
253,empresas,371
254,vai,367
255,comum,365
256,armas,363
257,estar,361
258,acesso,360
259,grandes,358
260,nesse,357
261,acabar,355
262,dias,355
263,preciso,354
264,ocorre,353
265,condições,349
266,poder,349
267,fazendo,348
268,sejam,346
269,outra,346
270,importância,346
271,países,345
272,exclusão,341
273,desenvolvimento,338
274,doença,331
275,ação,331
276,somente,331
277,humano,331
278,será,330
279,renda,330
280,crime,329
281,desses,329
282,igualdade,327
283,homens,327
284,fim,327
285,mídia,326
286,produto,326
287,ambiente,324
288,grupo,323
289,lado,317
290,então,317
291,pensamento,317
292,algumas,316
293,ajuda,315
294,possui,313
295,solução,312
296,diminuir,311
297,acabam,309
298,novas,304
299,mudança,304
300,brasileiro,299
301,medidas,298
302,desigualdade,298
303,vários,298
304,realidade,297
305,racismo,296
306,mal,296
307,relações,293
308,torna,292
309,pensar,292
310,estes,290
311,ato,290
312,bom,289
313,quantidade,289
314,processo,288
315,apesar,288
316,criar,286
317,tão,286
318,segundo,284
319,simples,284
320,tendo,282
321,direito,279
322,algum,279
323,mesmos,279
324,público,278
325,alguém,278
326,cidadãos,278
327,economia,276
328,boa,275
329,projetos,275
330,mudanças,275
331,ajudar,275
332,conscientização,275
333,criação,275
334,diferenças,274
335,segurança,274
336,crimes,273
337,gera,273
338,nós,272
339,pelas,272
340,mudar,271
341,povo,270
342,acaba,270
343,maioridade,269
344,fazem,269
345,futuro,267
346,vivemos,267
347,política,266
348,ruas,265
349,quais,264
350,vista,262
351,antes,262
352,legalização,262
353,redução,261
354,formação,261
355,precisa,261
356,logo,261
357,jovem,260
358,penal,260
359,passar,259
360,passa,258
361,menores,257
362,melhorar,257
363,mobilidade,257
364,século,256
365,cidades,255
366,certo,255
367,movimento,255
368,fatores,255
369,lugar,255
370,acordo,254
371,devemos,254
372,adolescentes,253
373,brasileiros,252
374,haja,251
375,maiores,250
376,contudo,250
377,papel,249
378,formas,249
379,campanhas,248
380,novo,248
381,ponto,247
382,classes,246
383,fator,244
384,classe,244
385,tecnologia,244
386,ver,243
387,humanos,243
388,ideia,242
389,precisam,242
390,deveriam,241
391,consequentemente,240
392,realmente,240
393,própria,240
394,atos,238
395,consumista,236
396,crise,234
397,dessas,232
398,diferença,231
399,objetivo,231
400,familiar,230
401,sentimento,228
402,diminuição,228
403,;,228
404,situações,227
405,motivo,227
406,nada,227
407,amor,226
408,transportes,225
409,somos,224
410,liberação,224
411,públicos,223
412,tráfico,222
413,busca,222
414,informações,221
415,têm,221
416,principal,220
417,menor,220
418,várias,220
419,criança,219
420,familiares,218
421,acontece,217
422,baixa,216
423,dar,216
424,tema,216
425,visto,215
426,comunicação,214
427,instituições,213
428,crescimento,213
429,políticas,213
430,controle,211
431,pouco,210
432,fácil,210
433,urbana,209
434,sofre,209
435,física,209
436,mostrar,209
437,manifestações,207
438,aumentar,206
439,atuais,206
440,base,205
441,desta,203
442,nova,203
443,liberdade,202
444,próprio,202
445,isto,202
446,eram,200
447,maconha,200
448,viver,198
449,terem,198
450,poderia,198
451,atenção,197
452,longo,197
453,ano,197
454,nunca,197
455,recursos,197
456,atitudes,196
457,deve-se,195
458,”,193
459,invisibilidade,193
460,consciência,192
461,investir,192
462,ideias,192
463,tipos,191
464,iguais,191
465,remédios,191
466,mortes,190
467,“,190
468,levar,190
469,compra,190
470,trânsito,190
471,deles,189
472,mil,189
473,natureza,188
474,entanto,188
475,usuários,188
476,você,187
477,motivos,187
478,sentido,187
479,si,187
480,deste,186
481,durante,185
482,geral,184
483,haver,184
484,novos,183
485,história,183
486,entretanto,182
487,espaço,182
488,produção,182
489,conhecimento,182
490,medicamentos,182
491,conceito,181
492,vão,180
493,diante,180
494,ninguém,179
495,programas,179
496,trabalhar,179
497,amigos,178
498,alguma,178
499,contexto,177
500,enquanto,177
501,coisas,177
502,nan,177
503,resolver,176
504,irá,176
505,porte,176
506,humor,175
507,alunos,175
508,infelizmente,175
509,difícil,175
510,certa,175
511,totalmente,174
512,preço,174
513,preconceitos,173
514,valor,173
515,deficientes,172
516,contato,172
517,possam,172
518,leva,171
519,fundamental,170
520,padrões,170
521,errado,170
522,consequência,170
523,estamos,169
524,fora,169
525,cidadão,169
526,principais,168
527,infratores,168
528,consumidores,167
529,extremamente,167
530,ensino,167
531,após,167
532,real,167
533,possa,166
534,parcela,165
535,considerado,165
536,brincadeira,165
537,lugares,165
538,estas,164
539,aumentando,164
540,valores,164
541,saber,164
542,prática,164
543,gênero,164
544,benefícios,164
545,melhores,164
546,pode-se,163
547,feito,162
548,cor,162
549,comunidade,162
550,moda,161
551,pública,161
552,apoio,161
553,conseguir,160
554,econômica,160
555,palestras,160
556,necessidades,160
557,período,160
558,promover,160
559,públicas,160
560,arma,159
561,diretamente,159
562,cotidiano,159
563,propagandas,158
564,luta,158
565,sair,158
566,droga,158
567,deixar,158
568,digital,158
569,junto,157
570,idosa,157
571,consumir,156
572,áreas,156
573,sexual,156
574,homossexuais,155
575,discriminação,155
576,indústria,155
577,mesmas,154
578,garantir,153
579,cidade,153
580,quer,152
581,agressão,152
582,passado,152
583,depois,151
584,geração,151
585,criminalidade,151
586,oportunidades,151
587,precisamos,151
588,dados,150
589,ficar,150
590,afeta,150
591,querem,149
592,poderiam,149
593,nossas,149
594,mostra,149
595,adultos,148
596,próximo,148
597,questões,148
598,tratamento,147
599,sentem,147
600,tentar,147
601,perante,147
602,atividades,146
603,podendo,146
604,demais,146
605,agressões,146
606,taxa,145
607,padrão,145
608,presentes,145
609,ocorrer,144
610,trabalhadores,144
611,muita,144
612,nessa,144
613,causar,144
614,normal,144
615,passam,144
616,alta,143
617,emprego,143
618,manter,143
619,influência,143
620,incentivar,143
621,racial,143
622,vontade,143
623,tornar,142
624,tornando,141
625,últimos,141
626,dois,141
627,relacionamentos,140
628,morte,140
629,gerando,140
630,verdade,140
631,vítimas,140
632,pensamentos,140
633,visão,139
634,buscar,139
635,mundial,139
636,fica,138
637,exemplos,137
638,for,136
639,evitar,136
640,raça,136
641,diz,136
642,sexo,136
643,veículos,136
644,medida,135
645,tenham,135
646,seres,135
647,coisa,135
648,tenha,135
649,avanço,134
650,gerar,134
651,serviços,134
652,econômico,134
653,cotas,134
654,ônibus,133
655,aulas,133
656,conseguem,133
657,sentir,133
658,importantes,133
659,usar,132
660,estatuto,132
661,condição,131
662,empregos,131
663,utilização,131
664,essencial,131
665,falar,130
666,ir,130
667,impostos,130
668,dizer,130
669,nossos,130
670,continuar,130
671,fosse,130
672,ongs,130
673,aspectos,130
674,construção,130
675,constante,130
676,combater,130
677,vidas,130
678,delas,130
679,capacidade,129
680,nacional,129
681,lucro,129
682,existir,129
683,gerações,129
684,pesquisas,129
685,claro,129
686,causando,128
687,maneiras,128
688,aumenta,128
689,média,128
690,trabalhos,128
691,força,128
692,etc,128
693,tomar,128
694,mente,127
695,dela,127
696,área,127
697,nao,127
698,dificuldades,126
699,religião,126
700,roupas,126
701,sido,126
702,maria,126
703,locais,126
704,dificuldade,126
705,apresenta,125
706,união,125
707,feita,125
708,presos,124
709,xxi,124
710,salário,124
711,estrutura,124
712,tristeza,124
713,agir,124
714,conflitos,123
715,opiniões,123
716,tomadas,123
717,doenças,123
718,função,123
719,caminho,122
720,fogo,122
721,época,122
722,ensinar,122
723,começa,122
724,quase,121
725,penha,121
726,virtual,121
727,modelo,121
728,socialmente,121
729,perceber,121
730,físicas,121
731,fatos,121
732,jeito,121
733,vive,120
734,escolar,120
735,aceitação,120
736,vivem,120
737,atitude,119
738,pagar,119
739,necessária,119
740,contrário,119
741,houve,119
742,moral,119
743,punição,118
744,responsáveis,118
745,melhoria,118
746,buscam,118
747,afinal,118
748,serão,118
749,deixando,118
750,superior,118
751,aquilo,118
752,cultural,118
753,preços,117
754,acontecer,117
755,rua,117
756,hospitais,117
757,poucos,117
758,neste,116
759,investimento,116
760,bens,116
761,justiça,116
762,previdência,115
763,lidar,115
764,culturais,115
765,brancos,115
766,geralmente,115
767,ja,115
768,alto,115
769,indústrias,114
770,opinião,114
771,interação,114
772,causas,113
773,encontra,113
774,entender,113
775,idoso,113
776,cedo,113
777,vítima,113
778,poluição,112
779,destes,112
780,estudos,112
781,traz,112
782,pontos,112
783,possuir,112
784,teve,111
785,seriam,111
786,começar,111
787,abusos,111
788,pessoal,111
789,primeiro,111
790,venda,110
791,estados,110
792,parar,110
793,possibilidade,110
794,suficiente,110
795,estudo,109
796,cerca,109
797,aposentadoria,109
798,felicidade,109
799,deixa,109
800,nação,109
801,políticos,108
802,organização,108
803,acima,108
804,diariamente,108
805,atrás,108
806,expressão,108
807,realizar,108
808,físicos,108
809,aceitar,107
810,incentivo,107
811,mostram,107
812,mostrando,107
813,índice,107
814,forte,106
815,pesquisa,106
816,16,106
817,superlotação,106
818,resultado,106
819,desejo,106
820,necessárias,106
821,sentimentos,106
822,passou,106
823,casas,105
824,próprios,105
825,nenhum,105
826,pele,105
827,concluir,105
828,agressor,105
829,dá,104
830,discussão,104
831,constituição,104
832,farmacêutica,104
833,sabem,104
834,avanços,104
835,ruim,104
836,considerados,103
837,melhorias,103
838,ambos,102
839,capitalismo,102
840,capaz,102
841,agora,102
842,individual,102
843,tornou,102
844,projeto,102
845,determinado,102
846,cabe,101
847,hora,101
848,pobres,101
849,intervenção,101
850,melhora,101
851,apresentam,101
852,desenvolver,101
853,presença,101
854,ong,101
855,disseminação,101
856,negro,101
857,chegar,100
858,duas,100
859,total,100
860,criminosos,100
861,profissionais,100
862,á,100
863,enorme,100
864,abuso,100
865,características,100
866,psicológico,99
867,igual,99
868,simplesmente,99
869,ficam,99
870,tempos,99
871,invés,99
872,demanda,99
873,corrupção,99
874,início,98
875,brasileiras,98
876,imprescindível,98
